"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2018-06-13T13:29:04.899+09:00"
"RESULT_INF"
"TOTAL_NUMBER","2070"
"FROM_NUMBER","1"
"TO_NUMBER","2070"
"TABLE_INF","0003142014"
"STAT_NAME","00200521","国勢調査"
"GOV_ORG","00200","総務省"
"STATISTICS_NAME","平成27年国勢調査 速報集計 抽出速報集計"
"TITLE","00110","年齢(各歳)，男女別人口，年齢別割合，平均年齢及び年齢中位数(総数及び日本人) 全国(市部・郡部)"
"CYCLE","-"
"SURVEY_DATE","201510"
"OPEN_DATE","2016-06-29"
"SMALL_AREA","0"
"MAIN_CATEGORY","02","人口・世帯"
"SUB_CATEGORY","01","人口"
"OVERALL_TOTAL_NUMBER","2070"
"UPDATED_DATE","2016-09-01"
"STATISTICS_NAME_SPEC","平成27年国勢調査","速報集計","抽出速報集計","","",""
"TITLE_SPEC","","年齢(各歳)，男女別人口，年齢別割合，平均年齢及び年齢中位数(総数及び日本人)","全国(市部・郡部)","",""
"NOTE","***","当該数値がないもの"
"NOTE","-","当該数値がないもの"
"VALUE"
"tab_code","表章項目","cat01_code","国籍_2015","cat02_code","男女別_2015","cat03_code","年齢_2015","area_code","地域（2015）","time_code","時間軸(年次)","unit","value"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0140","13歳","00001","全国市部","2015000000","2015年","人","1018400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0140","13歳","00002","全国郡部","2015000000","2015年","人","101800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0150","14歳","00000","全国","2015000000","2015年","人","1167600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0150","14歳","00001","全国市部","2015000000","2015年","人","1067500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0150","14歳","00002","全国郡部","2015000000","2015年","人","100000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0160","15歳","00000","全国","2015000000","2015年","人","1196200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0160","15歳","00001","全国市部","2015000000","2015年","人","1082400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0160","15歳","00002","全国郡部","2015000000","2015年","人","113800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0170","16歳","00000","全国","2015000000","2015年","人","1183200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0170","16歳","00001","全国市部","2015000000","2015年","人","1078600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0170","16歳","00002","全国郡部","2015000000","2015年","人","104600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0180","17歳","00000","全国","2015000000","2015年","人","1200000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0180","17歳","00001","全国市部","2015000000","2015年","人","1095900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0180","17歳","00002","全国郡部","2015000000","2015年","人","104200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0190","18歳","00000","全国","2015000000","2015年","人","1164300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0190","18歳","00001","全国市部","2015000000","2015年","人","1066500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0190","18歳","00002","全国郡部","2015000000","2015年","人","97800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0200","19歳","00000","全国","2015000000","2015年","人","1148800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0200","19歳","00001","全国市部","2015000000","2015年","人","1069700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0200","19歳","00002","全国郡部","2015000000","2015年","人","79100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0210","20歳","00000","全国","2015000000","2015年","人","1250100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0210","20歳","00001","全国市部","2015000000","2015年","人","1160900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0210","20歳","00002","全国郡部","2015000000","2015年","人","89200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0220","21歳","00000","全国","2015000000","2015年","人","1239200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0220","21歳","00001","全国市部","2015000000","2015年","人","1150000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0220","21歳","00002","全国郡部","2015000000","2015年","人","89300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0230","22歳","00000","全国","2015000000","2015年","人","1211500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0230","22歳","00001","全国市部","2015000000","2015年","人","1124200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0230","22歳","00002","全国郡部","2015000000","2015年","人","87300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0240","23歳","00000","全国","2015000000","2015年","人","1225000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0240","23歳","00001","全国市部","2015000000","2015年","人","1131400"
